display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07032] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07033] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07033] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07034] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07035] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07035] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.07036] Score is : 769
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07036] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07037] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07037] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07038] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07039] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07039] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07040] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07041] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07041] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07042] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07042] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07043] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07044] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:398  _al_score_display_settings       [   0.07044] Single Buffer requirement not met.
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.07045] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
